============================================================
BENCHMARK 1: HumanEval (164 problems)
============================================================
HE 1/164: PASS | 1/1 (100.0%)
HE 2/164: PASS | 2/2 (100.0%)
HE 3/164: PASS | 3/3 (100.0%)
HE 4/164: PASS | 4/4 (100.0%)
HE 5/164: PASS | 5/5 (100.0%)
HE 6/164: PASS | 6/6 (100.0%)
HE 7/164: PASS | 7/7 (100.0%)
HE 8/164: PASS | 8/8 (100.0%)
HE 9/164: PASS | 9/9 (100.0%)
HE 10/164: PASS | 10/10 (100.0%)
HE 11/164: PASS | 11/11 (100.0%)
HE 12/164: PASS | 12/12 (100.0%)
HE 13/164: PASS | 13/13 (100.0%)
HE 14/164: PASS | 14/14 (100.0%)
HE 15/164: PASS | 15/15 (100.0%)
HE 16/164: PASS | 16/16 (100.0%)
HE 17/164: PASS | 17/17 (100.0%)
HE 18/164: PASS | 18/18 (100.0%)
HE 19/164: PASS | 19/19 (100.0%)
HE 20/164: PASS | 20/20 (100.0%)
HE 21/164: PASS | 21/21 (100.0%)
HE 22/164: PASS | 22/22 (100.0%)
HE 23/164: PASS | 23/23 (100.0%)
HE 24/164: PASS | 24/24 (100.0%)
HE 25/164: PASS | 25/25 (100.0%)
HE 26/164: PASS | 26/26 (100.0%)
HE 27/164: PASS | 27/27 (100.0%)
HE 28/164: PASS | 28/28 (100.0%)
HE 29/164: PASS | 29/29 (100.0%)
HE 30/164: PASS | 30/30 (100.0%)
HE 31/164: PASS | 31/31 (100.0%)
HE 32/164: PASS | 32/32 (100.0%)
HE 33/164: PASS | 33/33 (100.0%)
HE 34/164: PASS | 34/34 (100.0%)
HE 35/164: PASS | 35/35 (100.0%)
HE 36/164: PASS | 36/36 (100.0%)
HE 37/164: PASS | 37/37 (100.0%)
HE 38/164: PASS | 38/38 (100.0%)
HE 39/164: PASS | 39/39 (100.0%)
HE 40/164: PASS | 40/40 (100.0%)
HE 41/164: PASS | 41/41 (100.0%)
HE 42/164: PASS | 42/42 (100.0%)
HE 43/164: PASS | 43/43 (100.0%)
HE 44/164: PASS | 44/44 (100.0%)
HE 45/164: PASS | 45/45 (100.0%)
HE 46/164: PASS | 46/46 (100.0%)
HE 47/164: PASS | 47/47 (100.0%)
HE 48/164: PASS | 48/48 (100.0%)
HE 49/164: PASS | 49/49 (100.0%)
HE 50/164: PASS | 50/50 (100.0%)
HE 51/164: PASS | 51/51 (100.0%)
HE 52/164: PASS | 52/52 (100.0%)
HE 53/164: PASS | 53/53 (100.0%)
HE 54/164: PASS | 54/54 (100.0%)
HE 55/164: PASS | 55/55 (100.0%)
HE 56/164: PASS | 56/56 (100.0%)
HE 57/164: PASS | 57/57 (100.0%)
HE 58/164: PASS | 58/58 (100.0%)
HE 59/164: PASS | 59/59 (100.0%)
HE 60/164: PASS | 60/60 (100.0%)
HE 61/164: PASS | 61/61 (100.0%)
HE 62/164: PASS | 62/62 (100.0%)
HE 63/164: PASS | 63/63 (100.0%)
HE 64/164: PASS | 64/64 (100.0%)
HE 65/164: PASS | 65/65 (100.0%)
HE 66/164: PASS | 66/66 (100.0%)
HE 67/164: PASS | 67/67 (100.0%)
HE 68/164: PASS | 68/68 (100.0%)
HE 69/164: PASS | 69/69 (100.0%)
HE 70/164: PASS | 70/70 (100.0%)
HE 71/164: PASS | 71/71 (100.0%)
HE 72/164: PASS | 72/72 (100.0%)
HE 73/164: PASS | 73/73 (100.0%)
HE 74/164: PASS | 74/74 (100.0%)
HE 75/164: PASS | 75/75 (100.0%)
HE 76/164: PASS | 76/76 (100.0%)
HE 77/164: PASS | 77/77 (100.0%)
HE 78/164: PASS | 78/78 (100.0%)
HE 79/164: PASS | 79/79 (100.0%)
HE 80/164: PASS | 80/80 (100.0%)
HE 81/164: PASS | 81/81 (100.0%)
HE 82/164: PASS | 82/82 (100.0%)
HE 83/164: PASS | 83/83 (100.0%)
HE 84/164: PASS | 84/84 (100.0%)
HE 85/164: PASS | 85/85 (100.0%)
HE 86/164: PASS | 86/86 (100.0%)
HE 87/164: PASS | 87/87 (100.0%)
HE 88/164: PASS | 88/88 (100.0%)
HE 89/164: PASS | 89/89 (100.0%)
HE 90/164: PASS | 90/90 (100.0%)
HE 91/164: PASS | 91/91 (100.0%)
HE 92/164: PASS | 92/92 (100.0%)
HE 93/164: PASS | 93/93 (100.0%)
HE 94/164: PASS | 94/94 (100.0%)
HE 95/164: PASS | 95/95 (100.0%)
HE 96/164: PASS | 96/96 (100.0%)
HE 97/164: PASS | 97/97 (100.0%)
HE 98/164: PASS | 98/98 (100.0%)
HE 99/164: PASS | 99/99 (100.0%)
HE 100/164: PASS | 100/100 (100.0%)
HE 101/164: PASS | 101/101 (100.0%)
HE 102/164: PASS | 102/102 (100.0%)
HE 103/164: PASS | 103/103 (100.0%)
HE 104/164: PASS | 104/104 (100.0%)
HE 105/164: PASS | 105/105 (100.0%)
HE 106/164: PASS | 106/106 (100.0%)
HE 107/164: PASS | 107/107 (100.0%)
HE 108/164: PASS | 108/108 (100.0%)
HE 109/164: PASS | 109/109 (100.0%)
HE 110/164: PASS | 110/110 (100.0%)
HE 111/164: PASS | 111/111 (100.0%)
HE 112/164: PASS | 112/112 (100.0%)
HE 113/164: PASS | 113/113 (100.0%)
HE 114/164: PASS | 114/114 (100.0%)
HE 115/164: PASS | 115/115 (100.0%)
HE 116/164: PASS | 116/116 (100.0%)
HE 117/164: PASS | 117/117 (100.0%)
HE 118/164: PASS | 118/118 (100.0%)
HE 119/164: PASS | 119/119 (100.0%)
HE 120/164: PASS | 120/120 (100.0%)
HE 121/164: PASS | 121/121 (100.0%)
HE 122/164: PASS | 122/122 (100.0%)
HE 123/164: PASS | 123/123 (100.0%)
HE 124/164: PASS | 124/124 (100.0%)
HE 125/164: PASS | 125/125 (100.0%)
HE 126/164: PASS | 126/126 (100.0%)
HE 127/164: PASS | 127/127 (100.0%)
HE 128/164: PASS | 128/128 (100.0%)
HE 129/164: PASS | 129/129 (100.0%)
HE 130/164: PASS | 130/130 (100.0%)
HE 131/164: PASS | 131/131 (100.0%)
HE 132/164: PASS | 132/132 (100.0%)
HE 133/164: PASS | 133/133 (100.0%)
HE 134/164: PASS | 134/134 (100.0%)
HE 135/164: PASS | 135/135 (100.0%)
HE 136/164: PASS | 136/136 (100.0%)
HE 137/164: PASS | 137/137 (100.0%)
HE 138/164: PASS | 138/138 (100.0%)
HE 139/164: PASS | 139/139 (100.0%)
HE 140/164: PASS | 140/140 (100.0%)
HE 141/164: PASS | 141/141 (100.0%)
HE 142/164: PASS | 142/142 (100.0%)
HE 143/164: PASS | 143/143 (100.0%)
HE 144/164: PASS | 144/144 (100.0%)
HE 145/164: PASS | 145/145 (100.0%)
HE 146/164: PASS | 146/146 (100.0%)
HE 147/164: PASS | 147/147 (100.0%)
HE 148/164: PASS | 148/148 (100.0%)
HE 149/164: PASS | 149/149 (100.0%)
HE 150/164: PASS | 150/150 (100.0%)
HE 151/164: PASS | 151/151 (100.0%)
HE 152/164: PASS | 152/152 (100.0%)
HE 153/164: PASS | 153/153 (100.0%)
HE 154/164: PASS | 154/154 (100.0%)
HE 155/164: PASS | 155/155 (100.0%)
HE 156/164: PASS | 156/156 (100.0%)
HE 157/164: PASS | 157/157 (100.0%)
HE 158/164: PASS | 158/158 (100.0%)
HE 159/164: PASS | 159/159 (100.0%)
HE 160/164: PASS | 160/160 (100.0%)
HE 161/164: PASS | 161/161 (100.0%)
HE 162/164: PASS | 162/162 (100.0%)
HE 163/164: PASS | 163/163 (100.0%)
HE 164/164: PASS | 164/164 (100.0%)

HUMANEVAL FINAL: 164/164 = 100.0%

============================================================
BENCHMARK 2: MMLU Security + CS
============================================================
  computer_security: 81/100 (81.0%)
  security_studies: 198/245 (80.8%)
  college_computer_science: 78/100 (78.0%)
  high_school_computer_science: 88/100 (88.0%)
  electrical_engineering: 115/145 (79.3%)

MMLU TOTAL: 560/690 = 81.2%

============================================================
BENCHMARK 3: SecQA v1 + v2
============================================================
  secqa_v1: 110/110 (100.0%)
  secqa_v2: 97/100 (97.0%)

SECQA TOTAL: 207/210 = 98.6%

============================================================
SENTRY v4 BENCHMARK RESULTS
============================================================
HumanEval:       100.0%
MMLU (CS+Sec):   81.2%
SecQA:           98.6%
============================================================
Results saved to /tmp/sentry_v4_benchmarks.json
